Name,Document,Phone,Address,Number,Branch,Balance,IsActive
Davi Lucca Xavier,13075063020,(53) 9901-7799,"3768 Heitor Alameda, Salvador, Ilhas Virgens",38442-9,0001,0,True
Joana Moreira,58424126817,(43) 70369-4279,"650 Matheus Alameda, Caxias do Sul, Malawi",60015-3,0001,0,True
Maria Luiza Albuquerque,80100659121,(47) 17809-4520,"3404 Melo Avenida, Curitiba, Bôsnia",51811-5,0001,0,True
Melissa Franco,77266511005,+55 (23) 3358-2569,"6183 Núbia Alameda, São Vicente, Quiribati",88988-4,0001,0,True
Karla Carvalho,74900350789,(29) 4137-8764,"226 Carvalho Marginal, Anápolis, Madagascar",21305-1,0001,0,True
Manuela Martins,75125081090,(32) 5514-7672,"05159 Silas Avenida, Praia Grande, Iraque",21618-0,0001,0,True
Larissa Barros,51416430162,+55 (08) 9117-2456,"44316 Martins Avenida, Sorocaba, Costa do Marfim",00764-3,0001,0,True
Karla Melo,38726497674,+55 (83) 6159-8300,"5797 Franco Avenida, Franca, São Vicente e Granadinas",20364-5,0001,0,True
Gabriel Barros,93308309076,(29) 77027-2505,"892 Oliveira Travessa, Salvador, Zâmbia",99742-7,0001,0,True
Norberto Reis,67178012179,(36) 4684-6063,"274 Batista Rua, São Bernardo do Campo, Kuwait",18630-3,0001,0,True
Bryan Moreira,99785668729,(71) 5178-6969,"6012 Silva Rua, Salvador, Afeganistão",73143-6,0001,0,True
Maria Alice Moraes,59767333413,+55 (81) 5368-7520,"9329 Macedo Marginal, Taboão da Serra, Bulgária",84520-3,0001,0,True
Yango Souza,14117976567,(63) 7665-3383,"5983 Batista Rua, São Gonçalo, Maldives",04963-1,0001,0,True
Bruna Oliveira,75985180290,(17) 01054-3814,"7537 Pereira Rodovia, Taubaté, Burundi",95207-1,0001,0,True
Lucas Melo,52194484381,(82) 6874-8121,"48313 Costa Alameda, Franca, Butão",53769-7,0001,0,True
Lucas Braga,56784995080,+55 (91) 7149-7232,"27247 Benjamin Travessa, Cascavel, Vietnã",39831-8,0001,0,True
Enzo Gabriel Albuquerque,25939214077,+55 (63) 0043-8666,"6376 Larissa Avenida, Londrina, Holanda",49224-2,0001,0,True
Alessandra Moreira,13727297776,+55 (96) 2271-3289,"5565 Manuela Rua, Anápolis, Palau",29122-3,0001,0,True
João Lucas Silva,47017849555,(07) 91100-1920,"338 Macedo Travessa, Joinville, Ilhas Heard e McDonald",75748-0,0001,0,True
Paulo Moreira,64158141045,+55 (60) 4793-3762,"97885 Marcela Marginal, Olinda, Índia",80911-3,0001,0,True
Murilo Oliveira,84271325443,(63) 06794-7241,"395 Braga Travessa, Uberaba, República da África Central",65405-0,0001,0,True
Aline Souza,56736349792,(99) 68669-8231,"33569 Gustavo Avenida, Osasco, Espanha",08626-2,0001,0,True
Calebe Nogueira,61821455733,(02) 7537-3159,"561 Moraes Rua, Uberlândia, Panamá",95070-6,0001,0,True
Liz Nogueira,54684433969,(44) 0843-2065,"20258 Martins Rodovia, São José dos Campos, Jamaica",65612-6,0001,0,True
